Run,Well,Sample,Day,Temp.,Sample_ID,Gene,5 ng,1 ng,1ng_log10,Replicate,Sample,Sample,SampleID2,DNA_ng_per_gsoilDM_serial,A_no_gc_per_g_soil,A_no_gc_per_g_soil_log10
A1,A18,S5,60,20,2512,Archaea,28876,5775,3.76,2,A5,D,D60A5,20615.28,119053246,8.08
A1,B17,S5,60,20,2512,Archaea,28924,5785,3.76,3,A5,D,D60A5,20615.28,119259399,8.08
A1,B18,S5,60,20,2512,Archaea,27570,5514,3.74,4,A5,D,D60A5,20615.28,113672658,8.06
A2,E12,S6,60,20,116,Archaea,102103,20421,4.31,1,A6,D,D60A6,19113.32,390313132,8.59
A2,F12,S6,60,20,116,Archaea,69644,13929,4.14,2,A6,D,D60A6,19113.32,266229451,8.43
A2,F21,S6,60,20,116,Archaea,102033,20407,4.31,3,A6,D,D60A6,19113.32,390045546,8.59
A2,G12,S7,60,20,124,Archaea,53576,10715,4.03,1,A7,D,D60A7,7876.21,84393585,7.93
A2,H12,S7,60,20,124,Archaea,16204,3241,3.51,2,A7,D,D60A7,7876.21,25526795,7.41
A2,H21,S7,60,20,124,Archaea,30070,6014,3.78,3,A7,D,D60A7,7876.21,47367524,7.68
A2,I12,S8,60,20,353,Archaea,61799,12360,4.09,1,A8,D,D60A8,7003.86,86567688,7.94
A2,J12,S8,60,20,353,Archaea,43514,8703,3.94,2,A8,D,D60A8,7003.86,60954578,7.79
A2,J21,S8,60,20,353,Archaea,187437,37487,4.57,3,A8,D,D60A8,7003.86,262553634,8.42
A2,K12,S9,60,20,6023,Archaea,14808,2962,3.47,1,A9,D,D60A9,8967.28,26561079,7.42
A2,L12,S9,60,20,6023,Archaea,13710,2742,3.44,2,A9,D,D60A9,8967.28,24588277,7.39
A2,L21,S9,60,20,6023,Archaea,37633,7527,3.88,3,A9,D,D60A9,8967.28,67496705,7.83
A1,I05,S1,7,20,3865,Archaea,85815,17163,4.23,1,A1,D,D7A1,31327.19,537668506,8.73
A1,I06,S1,7,20,3865,Archaea,93589,18718,4.27,2,A1,D,D7A1,31327.19,586382282,8.77
A1,J05,S1,7,20,3865,Archaea,86744,17349,4.24,3,A1,D,D7A1,31327.19,543495363,8.74
A1,J06,S1,7,20,3865,Archaea,75344,15069,4.18,4,A1,D,D7A1,31327.19,472069377,8.67
A2,E05,S10,7,20,1881,Archaea,16304,3261,3.51,1,A10,D,D7A10,17419.56,56805172,7.75
A2,E18,S10,7,20,1881,Archaea,38517,7703,3.89,2,A10,D,D7A10,17419.56,134182840,8.13
A2,F05,S10,7,20,1881,Archaea,18352,3670,3.56,3,A10,D,D7A10,17419.56,63929771,7.81
A2,G05,S11,7,20,2259,Archaea,31985,6397,3.81,1,A11,D,D7A11,14655.73,93752735,7.97
A2,G18,S11,7,20,2259,Archaea,34379,6876,3.84,2,A11,D,D7A11,14655.73,100772832,8
A2,H05,S11,7,20,2259,Archaea,30810,6162,3.79,3,A11,D,D7A11,14655.73,90308637,7.96
A2,I05,S12,7,20,2407,Archaea,10615,2123,3.33,1,A12,D,D7A12,19279.25,40929842,7.61
